"marketplace","customer_id","review_id","product_id","product_parent","product_title","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","year","product_category"
"US","24327966","R3K72YZA5WTLZ4","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","4","0","0","N","Y","Fantastic. Though the box it comes in is rather ...","Fantastic.  Though the box it comes in is rather flimsy and rips easily.","16610","2015","Toys"
"US","14689407","R3SKR3JPM7XAZF","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Giant Cards for little people","Kids loved these!","16636","2015","Toys"
"US","39984853","RFWTJ1O6CTYP3","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","Great fun!!","16651","2015","Toys"
"US","25951368","R2LSE4K240LHI","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","They are perfect just what I needed!","16664","2015","Toys"
"US","44152158","R1YPU9LHGIGWG3","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","Fun!","16666","2015","Toys"
"US","41218838","R2WADWDKYP3R1B","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","AWESOME!","These are awesome! I bought them for a themed Halloween party and I can not wait to use them. I played a test game with them as soon as it came in. They are super cool!","16357","2014","Toys"
"US","19966541","R3GGA7X49T9IB9","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","great gift","16678","2015","Toys"
"US","42609026","R3QE24S79X0SJO","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","Love them! Just what I was looking for! :)","16450","2015","Toys"
"US","47751227","R3ENNY9CN3D5LD","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Statistical Education Fun","We used it to teach the binomial distribution to adults in a lunch hour industrial environment.  It was much more fun than it sounds.  The card thickness is about the same as regular playing cards and held up well.","15649","2012","Toys"
"US","44517708","R3PVOU9FNIKYDU","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","1","N","Y","We love them","We are having such a good time with this item. I need to buy more. The cards get used alot","15887","2013","Toys"
"US","19651295","R94KX3FMK778I","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Worth it!!!","They are giant playing cards!  Way more fun because its a challenge to hold on to them.  Makes poker way easier! :D","16032","2013","Toys"
"US","2030630","RY1CIQCOD69GT","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Poler will never be the same","We used these for a company ice breaker and Texas Hold Em game - worked great for a large group","16048","2013","Toys"
"US","18035554","RNFI2M53C7PC3","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Funny","If you're wanting to really play with these, make room.  That's all I have to say.  And be prepared to laugh.","16396","2014","Toys"
"US","11520704","R2SSD116ZKA8LE","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","1","1","N","Y","Five Stars","We have a friend who is going blind and she is able to play cards thanks to these cards","16397","2014","Toys"
"US","13043944","R29D6O76VIMLXW","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Help for older generation","Great for older ladies playing keno who can't hear well and can't seem to even call out the correct card","16038","2013","Toys"
"US","43560733","R2CDJPIDM50A81","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","1","1","N","Y","Five Stars","Fun, over-sized cards. Delivered on time and in perfect condition. Thank you!","16434","2014","Toys"
"US","45744161","ROYAJVB23UBC8","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","1","1","N","Y","Five Stars","FUN SIZE!!! Perfect for our mad hatter parties","16436","2015","Toys"
"US","37469073","R1FSLJ16TOJWDO","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","4","0","0","N","Y","Big playing cards. Period.","These are a great novelty item. I used them for a game we were running so everyone could see the drawn cards. Difficult to shuffle due to size.","16516","2015","Toys"
"US","19507266","RGVRALQI4MAO7","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","These cards are too fun... Used them in an Alice in wonderland o arty","16539","2015","Toys"
"US","32723839","R1I5JLN7SDKMTP","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","2","0","0","N","Y","Two Stars","OK BUT NOT AS LARGE AS PICTURE PORTRAYS","16544","2015","Toys"
"US","16975589","R1RZL08NUR79MP","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","3","8","10","N","Y","Fun in a classroom","These cards are a hit in the class. The students think they are \\""totally cool.\\"" They can tear relatively easy if handled roughly. If possible I would get them laminated if you plan on using them regularly.","15263","2011","Toys"
"US","35395329","RP02KXL36DC3T","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Love it","Bought these for a friend's son who loves magic and card games so he could decorate his room with them. Cannot wait to see what it looks like all finished but I was very impressed.","15708","2013","Toys"
"US","26706161","RDI8NUOM900W2","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","4","0","0","N","Y","JUMBO CARD!","They're lots of fun for the kids! And poker night will never be the same! They are the size of a sheet of paper and good conversation piece","15329","2011","Toys"
"US","45058595","R29U5NZYWPTZ69","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Perfect if you just want to mess around","I use this because my brother always wants to play Poker, but I don't play as much so I only play with these.  Yes, we are all adults, but I would suggest buying two sets if you have more than 4 or 5 people playing because they go quickly and shuffling is hard to do with these.","15763","2013","Toys"
"US","11983587","R2Z1IC5LKNJVEW","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Adorable","Using for a photo booth at a Vegas themed party.  The cards are perfect!","16576","2015","Toys"
"US","20688611","R357N5YYADUT57","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","4","0","0","N","Y","Awesomely Jumbo Playing Cards","I like these a lot.  Just wish they had a little better box<br />and a little more weight to them.  Still, fabulous.","15831","2013","Toys"
"US","45250146","R18WWYWF0HD763","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","giant cards","this are great card to have, i personally got them for a ballet performance as props and they are definitely quite the show","15833","2013","Toys"
"US","26186677","R54U8736WWG5J","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","These are perfect for our croquet wickets for an Alice in Wonderland ...","These are perfect for our croquet wickets for an Alice in Wonderland Sweet 16. Great quality, the cards are very sturdy. I will be adding arms, feet, as nd heads to these.","16600","2015","Toys"
"US","5318558","RB4B6AGDEERHI","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Jumbo cards","I bought these to add a twist on the phrase &#34; let's play cards&#34; the cards are sturdy and fun to use.","16205","2014","Toys"
"US","41392055","R26W3Q8NNAOL1R","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Jumbo","These are really big, very nice to look at. Makes you feel like you're Alice in wonderland (or something). The picture is a true representation of the cards","16211","2014","Toys"
"US","29940455","R11W0YOSXJJA88","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Just What The Dr. Ordered!!","Just what I was looking for. Thank you.","16637","2015","Toys"
"US","44037522","R2LEE8LPLWTNJ5","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","A Must have","Jumbo cards are so much fun to play with.  My kids want to play daily.  Sure, they're oversized and hard to hold in your hand but part of the fun is figuring out how to hold them without showing them.  Love them!","16646","2015","Toys"
"US","41504710","R21L8ZC97LWQ95","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","2","2","N","Y","Great cards.....","Laminated like a traditional playing card!...high quality. Great for card games like card sharks or to teach kids how to count.....","16243","2014","Toys"
"US","16074517","R3OD2LPGUD3LG7","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","These are great. We used them for our Alice in Wonderland trunk or treat decorations. Everyone loved them!","16370","2014","Toys"
"US","22155888","R2HR8PA51475O2","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","seems like they should hold up well","These are a full deck of cards. Heavy too, seems like they should hold up well.","16378","2014","Toys"
"US","11715919","R1JT8OKA93134Y","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","1","1","N","Y","Five Stars","Perfect for our Mad Hatter party! Great quality and condition","16409","2014","Toys"
"US","42735742","R12U3AXEMC2U8R","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","I love these big cards. Thank you","16487","2015","Toys"
"US","25481175","R3AD7PEXBNUIT1","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Five Stars","Super cool","16498","2015","Toys"
"US","16518421","R12LAZRLMK8G48","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","cards","We had a Mad Hatters party, this game was suppose to be for the adults but the kids took it over!  The cards are so large we did a memory game in our entire living room - it was very fun and made for a great addition to the party.  Adult and Kids fun.","15657","2012","Toys"
"US","43917832","RFT0T6F0GYHQF","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","N","SO MUCH FUN! Glad I purchased them","SO MUCH FUN!  Glad I purchased them.","16506","2015","Toys"
"US","8222896","R36EENGXDLGJYM","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Perfect for our Mad Hatter Tea Party","even bigger than I thought.  Perfect for our Mad Hatter Tea Party!","16506","2015","Toys"
"US","33442774","R3JW7PJ2HQ9GA","B002LHA74O","818126353","Super Jumbo Playing Cards by S&S Worldwide","5","0","0","N","Y","Great deck of cards","Exactly what I was looking for! These cards are of great quality and worked wonderfully for the purpose I wanted them for.  To top it off delivery was fast.","15702","2012","Toys"
